name,all_defense_0
,null
confidence ACC,0.56375
entropy ACC,0.5483333333333333
modified entropy ACC,0.5570833333333333
loss ACC,0.56375
confidence AUC,0.7381538194444444
entropy AUC,0.6899423611111112
modified entropy AUC,0.7382861111111111
modified entropy AUC,0.7381538194444444
grad_wrt_x_l1 ACC,0.5766666666666667
grad_wrt_x_l2 ACC,0.5691666666666667
grad_wrt_w_l1 ACC,0.5883333333333334
grad_wrt_w_l2 ACC,0.5870833333333333
grad_wrt_x_l1 AUC,0.73740625
grad_wrt_x_l2 AUC,0.7373527777777777
grad_wrt_w_l1 AUC,0.7367097222222223
grad_wrt_w_l2 AUC,0.7371694444444444
