name,all_defense_300
,null
confidence ACC,0.8070833333333334
entropy ACC,0.7887500000000001
modified entropy ACC,0.8058333333333334
loss ACC,0.8070833333333334
confidence AUC,0.8260378472222222
entropy AUC,0.8220055555555555
modified entropy AUC,0.826373611111111
modified entropy AUC,0.8260378472222222
grad_wrt_x_l1 ACC,0.8258333333333334
grad_wrt_x_l2 ACC,0.825
grad_wrt_w_l1 ACC,0.8275
grad_wrt_w_l2 ACC,0.8287500000000001
grad_wrt_x_l1 AUC,0.8265333333333332
grad_wrt_x_l2 AUC,0.8266999999999999
grad_wrt_w_l1 AUC,0.8281055555555555
grad_wrt_w_l2 AUC,0.8279097222222223
