name,all_defense_0
,null
confidence ACC,0.5
entropy ACC,0.5
modified entropy ACC,0.5
loss ACC,0.5
confidence AUC,0.8080055555555555
entropy AUC,0.7920666666666667
modified entropy AUC,0.8086965277777778
modified entropy AUC,0.8080055555555555
grad_wrt_x_l1 ACC,0.4979166666666666
grad_wrt_x_l2 ACC,0.4995833333333334
grad_wrt_w_l1 ACC,0.49833333333333335
grad_wrt_w_l2 ACC,0.49833333333333335
grad_wrt_x_l1 AUC,0.7941361111111112
grad_wrt_x_l2 AUC,0.7938493055555556
grad_wrt_w_l1 AUC,0.8009354166666668
grad_wrt_w_l2 AUC,0.8026152777777777
