name,weighted_dataindex_s_-0.3
,null
confidence ACC,0.48041666666666666
entropy ACC,0.4820833333333333
modified entropy ACC,0.4775
loss ACC,0.48041666666666666
confidence AUC,0.24223125
entropy AUC,0.15551909722222224
modified entropy AUC,0.24857118055555555
modified entropy AUC,0.24223125
grad_wrt_x_l1 ACC,0.4625
grad_wrt_x_l2 ACC,0.46541666666666665
grad_wrt_w_l1 ACC,0.45916666666666667
grad_wrt_w_l2 ACC,0.46416666666666667
grad_wrt_x_l1 AUC,0.6573791666666667
grad_wrt_x_l2 AUC,0.6581326388888888
grad_wrt_w_l1 AUC,0.6795312499999999
grad_wrt_w_l2 AUC,0.6710430555555555
