name,weighted_dataindex_s_0.2
,null
confidence ACC,0.49875
entropy ACC,0.49875
modified entropy ACC,0.49875
loss ACC,0.49875
confidence AUC,0.3299805555555556
entropy AUC,0.2878291666666667
modified entropy AUC,0.3355340277777778
modified entropy AUC,0.3299805555555556
grad_wrt_x_l1 ACC,0.49375
grad_wrt_x_l2 ACC,0.49541666666666667
grad_wrt_w_l1 ACC,0.49291666666666667
grad_wrt_w_l2 ACC,0.495
grad_wrt_x_l1 AUC,0.5457888888888889
grad_wrt_x_l2 AUC,0.5493750000000001
grad_wrt_w_l1 AUC,0.5916430555555556
grad_wrt_w_l2 AUC,0.5784614583333333
