name,weighted_datavalue_0.3
,null
confidence ACC,0.49583333333333335
entropy ACC,0.49583333333333335
modified entropy ACC,0.49583333333333335
loss ACC,0.49583333333333335
confidence AUC,0.26270902777777777
entropy AUC,0.1971784722222222
modified entropy AUC,0.2719003472222222
modified entropy AUC,0.26270902777777777
grad_wrt_x_l1 ACC,0.4825
grad_wrt_x_l2 ACC,0.48583333333333334
grad_wrt_w_l1 ACC,0.485
grad_wrt_w_l2 ACC,0.4875
grad_wrt_x_l1 AUC,0.7004375
grad_wrt_x_l2 AUC,0.7036166666666667
grad_wrt_w_l1 AUC,0.7331520833333333
grad_wrt_w_l2 AUC,0.725298611111111
