name,weighted_datavalue_s_-0.3
,null
confidence ACC,0.51
entropy ACC,0.49624999999999997
modified entropy ACC,0.5095833333333333
loss ACC,0.51
confidence AUC,0.7212333333333333
entropy AUC,0.6365899305555555
modified entropy AUC,0.7208590277777778
modified entropy AUC,0.7212333333333333
grad_wrt_x_l1 ACC,0.49875
grad_wrt_x_l2 ACC,0.49874999999999997
grad_wrt_w_l1 ACC,0.51625
grad_wrt_w_l2 ACC,0.51
grad_wrt_x_l1 AUC,0.6697569444444444
grad_wrt_x_l2 AUC,0.6710562499999999
grad_wrt_w_l1 AUC,0.6728125
grad_wrt_w_l2 AUC,0.6730291666666667
