name,weighted_datavalue_s_0
,null
confidence ACC,0.4970833333333333
entropy ACC,0.4979166666666667
modified entropy ACC,0.49541666666666667
loss ACC,0.4970833333333333
confidence AUC,0.2867645833333333
entropy AUC,0.22951145833333333
modified entropy AUC,0.29194097222222226
modified entropy AUC,0.2867645833333333
grad_wrt_x_l1 ACC,0.48333333333333334
grad_wrt_x_l2 ACC,0.48791666666666667
grad_wrt_w_l1 ACC,0.4825
grad_wrt_w_l2 ACC,0.485
grad_wrt_x_l1 AUC,0.57634375
grad_wrt_x_l2 AUC,0.5799124999999999
grad_wrt_w_l1 AUC,0.6170680555555556
grad_wrt_w_l2 AUC,0.6093173611111111
